,MSE,RMSE,MAE,MAPE
NBEATS,60831.051588380695,246.6395174913799,191.23984821536604,17.092988142444156
NHITS,20798.542517232214,144.2169980176824,97.80069438574118,8.728034864864803
LSTM,30563.92637459241,174.8254168437542,135.1215148144102,11.383664803667209
GRU,29701.80014994166,172.34210208170742,126.57191281293522,10.730301374089473
